,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,Auty bramkowe_home,Auty bramkowe_away,goals_home,goals_away
0,2013-2014,37,01.06.2014 18:00,Górnik Zabrze,Lechia Gdańsk,52%,48%,22,14,7,6,8,6,7,2,22,17,6,5,4,2,27,21,4,7,14,21,3,1,,,,,0,2
1,2013-2014,37,01.06.2014 18:00,Legia Warszawa,Lech Poznań,49%,51%,10,8,4,6,6,2,0,0,20,15,10,3,0,0,20,37,6,2,9,10,2,4,,,,,2,0
2,2013-2014,37,01.06.2014 18:00,Ruch Chorzów,Pogoń Szczecin,45%,55%,13,9,2,1,8,8,3,0,16,10,4,4,0,4,11,12,1,2,11,11,0,3,,,,,0,0
3,2013-2014,37,01.06.2014 18:00,Wisła Kraków,Zawisza Bydgoszcz,49%,51%,11,19,6,5,4,8,1,6,18,26,5,4,3,0,13,16,4,4,26,18,0,5,,,,,2,1
4,2013-2014,37,31.05.2014 20:30,Cracovia,Jagiellonia Białystok,63%,37%,16,19,7,8,8,7,1,4,11,20,3,5,3,0,20,19,6,5,19,12,1,0,,,,,2,2
5,2013-2014,37,31.05.2014 20:30,Korona Kielce,Śląsk Wrocław,46%,54%,10,25,6,10,2,10,2,5,7,14,4,5,2,0,19,24,5,6,12,7,2,1,,,,,1,5
6,2013-2014,37,31.05.2014 20:30,Piast Gliwice,Podbeskidzie B-B,45%,55%,6,23,3,9,2,7,1,7,13,14,2,6,2,1,28,23,7,1,12,13,1,4,,,,,2,2
7,2013-2014,37,31.05.2014 20:30,Zagłębie Lubin,Widzew Łódź,49%,51%,20,14,7,9,9,5,4,0,14,18,6,3,4,0,21,17,9,7,15,12,2,1,,,,,0,3
8,2013-2014,36,28.05.2014 20:30,Widzew Łódź,Piast Gliwice,54%,46%,19,15,7,6,6,6,6,3,,,2,6,1,3,,,5,5,14,21,1,3,,,,,2,1
9,2013-2014,36,28.05.2014 20:30,Lech Poznań,Ruch Chorzów,55%,45%,14,10,6,2,6,7,2,1,12,22,4,0,8,1,34,29,2,2,14,11,2,0,,,,,4,0
10,2013-2014,36,28.05.2014 20:30,Lechia Gdańsk,Wisła Kraków,57%,43%,25,7,9,2,12,4,4,1,18,17,8,1,2,2,29,18,0,7,16,18,4,4,,,,,2,2
11,2013-2014,36,28.05.2014 20:30,Pogoń Szczecin,Legia Warszawa,41%,59%,8,11,4,7,4,4,0,0,10,21,7,4,1,0,25,23,6,4,20,10,1,2,,,,,0,1
12,2013-2014,36,28.05.2014 20:30,Zawisza Bydgoszcz,Górnik Zabrze,54%,46%,18,10,4,0,8,7,6,3,19,15,8,4,3,4,21,28,0,4,10,15,1,1,,,,,0,1
13,2013-2014,36,27.05.2014 20:30,Jagiellonia Białystok,Korona Kielce,47%,53%,15,14,5,5,8,7,2,2,28,19,6,7,1,5,26,29,1,1,20,22,4,2,1,0,,,4,4
14,2013-2014,36,27.05.2014 20:30,Podbeskidzie B-B,Zagłębie Lubin,52%,48%,17,15,5,4,6,8,6,3,7,10,6,4,1,0,28,24,4,3,9,9,1,1,,,,,2,0
15,2013-2014,36,27.05.2014 20:30,Śląsk Wrocław,Cracovia,46%,54%,16,11,3,1,8,7,5,3,15,10,7,0,0,2,27,23,1,2,10,15,0,3,,,,,1,0
16,2013-2014,35,25.05.2014 18:00,Zawisza Bydgoszcz,Lechia Gdańsk,51%,49%,14,23,4,8,9,11,1,4,15,15,1,9,2,3,30,32,8,4,14,10,1,0,,,,,0,0
17,2013-2014,35,25.05.2014 15:30,Legia Warszawa,Ruch Chorzów,65%,35%,16,7,4,4,9,2,3,1,17,16,9,2,1,2,21,16,2,3,16,16,2,2,,,,,1,2
18,2013-2014,35,24.05.2014 15:30,Lech Poznań,Pogoń Szczecin,66%,34%,17,9,5,2,9,3,3,4,17,11,10,10,0,0,34,21,2,5,9,15,1,3,,,,,0,0
19,2013-2014,35,24.05.2014 13:00,Wisła Kraków,Górnik Zabrze,49%,51%,10,8,5,3,4,4,1,1,9,21,2,2,4,1,30,27,0,3,14,8,,,,,,,2,3
20,2013-2014,35,23.05.2014 20:30,Piast Gliwice,Zagłębie Lubin,49%,51%,12,24,6,7,4,12,2,5,10,8,5,9,1,1,25,14,7,4,7,8,0,1,,,,,2,0
21,2013-2014,35,23.05.2014 18:00,Cracovia,Korona Kielce,56%,44%,28,16,6,7,17,5,5,4,15,6,3,4,1,1,17,25,6,5,4,14,0,5,0,1,,,1,1
22,2013-2014,35,22.05.2014 20:30,Podbeskidzie B-B,Widzew Łódź,40%,60%,11,16,5,3,5,6,1,7,12,21,5,7,6,2,25,35,3,2,13,10,1,0,,,,,3,0
23,2013-2014,35,22.05.2014 18:00,Jagiellonia Białystok,Śląsk Wrocław,51%,49%,11,9,2,8,6,1,3,0,18,15,3,1,3,4,24,19,5,2,11,15,0,1,,,,,0,3
24,2013-2014,34,19.05.2014 18:00,Ruch Chorzów,Wisła Kraków,51%,49%,19,8,8,2,10,6,1,0,14,16,5,2,1,4,13,6,0,6,17,14,2,1,,,,,2,2
25,2013-2014,34,18.05.2014 18:00,Górnik Zabrze,Legia Warszawa,49%,51%,18,10,8,5,4,4,6,1,13,9,4,7,1,7,23,20,2,6,8,6,2,2,,,,,2,3
26,2013-2014,34,18.05.2014 15:30,Zagłębie Lubin,Cracovia,58%,42%,28,15,9,7,12,7,7,1,18,19,15,7,0,1,26,27,5,8,19,16,4,1,1,0,,,1,2
