,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,goals_home,goals_away
0,2014-2015,37,07.06.2015 18:00,Jagiellonia Białystok,Lechia Gdańsk,48%,52%,10,17,6,5,4,9,0,3,17,18,11,5,3,2,19,20,3,2,14,19,1,2,,,4,2
1,2014-2015,37,07.06.2015 18:00,Lech Poznań,Wisła Kraków,53%,47%,15,4,4,1,6,0,5,3,10,13,9,2,3,3,28,28,1,4,11,9,1,2,,,0,0
2,2014-2015,37,07.06.2015 18:00,Legia Warszawa,Górnik Zabrze,58%,42%,12,6,2,2,8,2,2,2,15,17,5,2,4,1,28,19,2,1,10,14,0,1,,,2,0
3,2014-2015,37,07.06.2015 18:00,Śląsk Wrocław,Pogoń Szczecin,52%,48%,20,6,8,1,6,2,6,3,15,13,5,1,2,2,23,22,0,6,11,13,1,2,,,2,1
4,2014-2015,37,05.06.2015 20:30,Górnik Łęczna,GKS Bełchatów,46%,54%,15,12,4,3,8,7,3,2,14,21,3,3,4,0,34,29,3,3,17,13,4,2,,,1,0
5,2014-2015,37,05.06.2015 20:30,Korona Kielce,Podbeskidzie B-B,52%,48%,16,11,5,4,5,4,6,3,10,17,4,9,1,0,26,30,3,2,14,11,1,1,,,3,1
6,2014-2015,37,05.06.2015 20:30,Piast Gliwice,Cracovia,39%,61%,9,21,2,7,6,9,1,5,14,6,8,11,1,2,22,30,4,2,7,11,1,0,,,0,3
7,2014-2015,37,05.06.2015 20:30,Ruch Chorzów,Zawisza Bydgoszcz,47%,53%,8,12,5,4,3,6,0,2,21,14,1,12,0,4,8,9,2,2,10,15,6,1,1,0,3,2
8,2014-2015,36,03.06.2015 20:30,Górnik Zabrze,Lech Poznań,46%,54%,9,17,3,9,3,7,3,1,7,13,4,4,0,1,24,18,3,2,11,6,1,1,,,1,6
9,2014-2015,36,03.06.2015 20:30,Lechia Gdańsk,Legia Warszawa,55%,45%,17,13,2,1,10,6,5,6,13,15,7,6,1,3,33,31,1,2,14,9,2,2,,,0,0
10,2014-2015,36,03.06.2015 20:30,Pogoń Szczecin,Jagiellonia Białystok,57%,43%,14,16,4,8,4,6,6,2,9,16,5,8,3,0,29,16,5,3,13,9,1,1,,,1,3
11,2014-2015,36,03.06.2015 20:30,Wisła Kraków,Śląsk Wrocław,50%,50%,5,14,0,2,4,9,1,3,25,18,5,7,1,4,26,35,1,0,17,21,4,0,,,0,1
12,2014-2015,36,02.06.2015 20:30,Cracovia,Ruch Chorzów,54%,46%,11,11,6,2,3,6,2,3,10,18,7,5,5,2,13,32,2,5,13,8,4,2,,,1,0
13,2014-2015,36,02.06.2015 20:30,GKS Bełchatów,Korona Kielce,56%,44%,11,12,4,4,4,7,3,1,19,17,7,4,3,3,35,30,2,2,12,15,3,1,,,2,2
14,2014-2015,36,02.06.2015 20:30,Podbeskidzie B-B,Górnik Łęczna,52%,48%,14,8,3,2,7,5,4,1,17,16,10,1,3,1,9,6,2,2,15,16,3,3,,,1,0
15,2014-2015,36,02.06.2015 20:30,Zawisza Bydgoszcz,Piast Gliwice,60%,40%,10,8,4,0,3,6,3,2,12,9,6,4,1,0,36,29,0,4,9,12,0,1,,,0,0
16,2014-2015,35,31.05.2015 18:00,Lech Poznań,Pogoń Szczecin,53%,47%,15,6,7,2,5,3,3,1,19,19,7,4,2,0,28,29,2,6,17,20,0,2,,,1,0
17,2014-2015,35,31.05.2015 15:30,Jagiellonia Białystok,Górnik Zabrze,40%,60%,7,19,2,5,5,11,0,3,12,13,1,3,3,0,23,25,3,0,9,10,0,3,,,3,2
18,2014-2015,35,31.05.2015 15:30,Legia Warszawa,Wisła Kraków,53%,47%,6,11,4,1,2,7,0,3,13,17,5,5,2,1,21,24,1,3,15,11,3,4,,,1,0
19,2014-2015,35,30.05.2015 20:30,Śląsk Wrocław,Lechia Gdańsk,44%,56%,5,12,3,3,1,6,1,3,15,17,4,4,0,1,31,23,3,2,16,14,,,,,1,0
20,2014-2015,35,30.05.2015 18:00,GKS Bełchatów,Zawisza Bydgoszcz,41%,59%,7,11,2,9,4,1,1,1,14,18,3,1,2,1,30,25,5,1,16,13,0,1,,,1,4
21,2014-2015,35,30.05.2015 15:30,Górnik Łęczna,Ruch Chorzów,56%,44%,12,5,3,3,5,1,4,1,12,18,6,1,4,1,26,16,2,3,13,11,1,2,,,0,1
22,2014-2015,35,29.05.2015 20:30,Korona Kielce,Piast Gliwice,49%,51%,15,10,5,3,5,7,5,0,6,13,7,3,1,0,34,25,2,3,12,6,1,0,,,2,1
23,2014-2015,35,29.05.2015 18:00,Podbeskidzie B-B,Cracovia,42%,58%,12,16,4,4,4,8,4,4,16,17,4,3,1,2,30,30,1,4,14,14,2,2,,,0,3
24,2014-2015,34,25.05.2015 18:00,Ruch Chorzów,GKS Bełchatów,54%,46%,9,13,5,7,2,4,2,2,14,16,4,6,1,2,7,10,3,3,14,13,5,3,,,2,4
25,2014-2015,34,24.05.2015 18:00,Lechia Gdańsk,Lech Poznań,56%,44%,16,9,8,3,5,4,3,2,16,17,7,3,2,1,34,25,1,7,15,17,2,2,0,1,1,2
26,2014-2015,34,24.05.2015 15:30,Piast Gliwice,Podbeskidzie B-B,44%,56%,8,15,4,5,3,7,1,3,14,12,3,9,0,2,19,32,4,2,13,12,1,2,,,2,1
27,2014-2015,34,23.05.2015 20:30,Jagiellonia Białystok,Wisła Kraków,47%,53%,7,8,2,5,5,2,0,1,19,17,7,2,0,4,33,27,4,0,16,14,1,0,,,2,1
28,2014-2015,34,23.05.2015 18:00,Pogoń Szczecin,Legia Warszawa,58%,42%,12,14,1,6,7,6,4,2,14,16,4,5,2,0,28,17,5,1,13,14,1,3,,,0,1
29,2014-2015,34,23.05.2015 15:30,Śląsk Wrocław,Górnik Zabrze,48%,52%,15,11,2,4,10,2,3,5,11,17,7,2,5,0,32,22,3,1,12,11,2,1,,,1,1
30,2014-2015,34,22.05.2015 20:30,Cracovia,Korona Kielce,61%,39%,10,10,6,4,4,2,0,4,16,20,5,7,4,0,22,24,3,5,17,17,2,1,,,1,1
31,2014-2015,34,22.05.2015 18:00,Zawisza Bydgoszcz,Górnik Łęczna,50%,50%,14,10,4,6,5,3,5,1,17,26,6,4,2,3,37,23,5,3,25,13,3,1,,,1,1
32,2014-2015,33,20.05.2015 20:30,Legia Warszawa,Jagiellonia Białystok,59%,41%,14,14,9,4,4,8,1,2,15,15,13,2,2,2,32,28,4,8,14,14,1,1,,,1,0
33,2014-2015,33,20.05.2015 20:30,Wisła Kraków,Pogoń Szczecin,57%,43%,14,15,3,7,5,4,6,4,19,14,5,2,2,1,28,26,5,1,13,18,2,3,,,2,2
34,2014-2015,33,20.05.2015 18:00,Górnik Zabrze,Lechia Gdańsk,46%,54%,9,15,2,4,4,8,3,3,14,14,5,6,2,5,39,35,3,2,11,8,2,1,1,1,0,1
35,2014-2015,33,20.05.2015 18:00,Lech Poznań,Śląsk Wrocław,54%,46%,13,10,7,4,4,2,2,4,10,22,4,5,2,1,17,28,4,4,18,9,,,,,3,0
36,2014-2015,33,19.05.2015 20:30,Cracovia,Zawisza Bydgoszcz,52%,48%,13,11,5,4,5,4,3,3,15,17,5,3,1,2,27,22,3,2,15,16,3,1,,,3,1
37,2014-2015,33,19.05.2015 20:30,Piast Gliwice,GKS Bełchatów,49%,51%,14,16,8,6,4,4,2,6,17,17,9,4,3,3,15,30,3,2,14,16,0,1,,,6,3
38,2014-2015,33,19.05.2015 18:00,Korona Kielce,Górnik Łęczna,52%,48%,15,10,2,5,7,4,6,1,17,10,8,3,0,4,28,24,2,1,10,12,0,4,1,1,1,3
39,2014-2015,33,19.05.2015 18:00,Podbeskidzie B-B,Ruch Chorzów,46%,54%,10,8,4,3,6,3,0,2,13,10,7,3,2,2,16,11,1,4,8,11,1,0,,,0,2
