,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
0,2016-2017,37,04.06.2017 18:00,Jagiellonia Białystok,Lech Poznań,61%,39%,12,8,5,3,7,5,8,3,2,1,1,3,9,12,0,1,3,5,,,,,,,2,2
1,2016-2017,37,04.06.2017 18:00,Legia Warszawa,Lechia Gdańsk,57%,43%,17,4,2,1,15,3,1,2,6,1,1,2,14,12,0,1,2,3,,,,,,,0,0
2,2016-2017,37,04.06.2017 18:00,Pogoń Szczecin,Korona Kielce,52%,48%,26,15,10,6,16,9,6,0,4,2,6,7,16,14,,,3,0,,,,,,,3,0
3,2016-2017,37,04.06.2017 18:00,Wisła Kraków,Bruk-Bet T.,50%,50%,8,21,4,10,4,11,7,6,0,3,8,3,12,13,,,1,0,,,,,,,1,2
4,2016-2017,37,02.06.2017 20:30,Cracovia,Piast Gliwice,47%,53%,14,10,1,4,13,6,9,3,1,8,3,1,8,11,,,2,0,,,,,,,0,1
5,2016-2017,37,02.06.2017 20:30,Ruch Chorzów,Górnik Łęczna,54%,46%,25,11,9,6,16,5,7,4,4,0,4,7,13,11,,,0,2,,,,,,,2,2
6,2016-2017,37,02.06.2017 20:30,Wisła Płock,Śląsk Wrocław,38%,62%,8,17,0,8,8,9,5,4,1,0,5,0,13,12,,,3,1,,,,,,,0,3
7,2016-2017,37,02.06.2017 20:30,Zagłębie Lubin,Arka Gdynia,67%,33%,10,14,1,5,9,9,5,1,1,1,2,0,20,24,,,0,4,,,,,,,1,3
8,2016-2017,36,28.05.2017 18:00,Bruk-Bet T.,Jagiellonia Białystok,50%,50%,16,18,5,10,11,8,3,5,1,0,8,4,13,10,,,1,1,,,,,,,1,2
9,2016-2017,36,28.05.2017 18:00,Korona Kielce,Legia Warszawa,50%,50%,11,18,1,5,10,13,7,3,1,5,4,1,21,10,,,7,3,,,,,,,0,1
