,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Wrzuty z autu_home,Wrzuty z autu_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
0,2017-2018,37,20.05.2018 18:00,Górnik Zabrze,Wisła Kraków,43%,57%,8,9,3,4,5,5,4,8,3,1,4,1,13,17,4,4,66,63,43,35,,,,,,,2,0
1,2017-2018,37,20.05.2018 18:00,Jagiellonia Białystok,Wisła Płock,52%,48%,12,14,5,4,7,10,4,4,2,6,3,3,18,17,2,7,91,86,55,56,0,1,,,,,2,1
2,2017-2018,37,20.05.2018 18:00,Korona Kielce,Zagłębie Lubin,41%,59%,6,17,3,6,3,11,3,6,0,2,4,3,15,16,3,1,144,206,64,122,,,,,,,0,2
3,2017-2018,37,20.05.2018 18:00,Lech Poznań,Legia Warszawa,63%,37%,8,5,2,4,6,1,15,4,0,4,4,2,11,11,2,0,47,40,32,20,,,,,,,0,3
4,2017-2018,37,19.05.2018 18:00,Arka Gdynia,Śląsk Wrocław,64%,36%,14,9,4,2,10,7,6,3,4,2,1,4,14,17,2,4,133,86,86,42,,,,,,,0,1
5,2017-2018,37,19.05.2018 18:00,Cracovia,Pogoń Szczecin,54%,46%,14,17,4,9,10,8,9,2,2,3,5,3,16,23,2,4,121,125,88,77,,,,,,,1,4
6,2017-2018,37,19.05.2018 18:00,Lechia Gdańsk,Sandecja Nowy Sącz,53%,47%,18,14,10,2,8,12,5,6,1,0,2,9,15,23,2,3,93,82,78,51,,,,,,,1,1
7,2017-2018,37,19.05.2018 18:00,Piast Gliwice,Bruk-Bet T.,44%,56%,15,13,7,6,8,7,1,8,3,1,6,3,17,13,3,0,125,149,86,101,,,,,,,4,0
8,2017-2018,36,13.05.2018 18:00,Legia Warszawa,Górnik Zabrze,58%,42%,10,13,6,4,4,9,8,4,4,4,4,4,16,13,4,2,44,50,71,56,1,0,,,,,2,0
9,2017-2018,36,13.05.2018 18:00,Wisła Kraków,Lech Poznań,62%,38%,9,9,2,4,7,5,6,4,1,2,3,1,17,14,2,4,95,75,56,46,,,,,,,1,1
10,2017-2018,36,13.05.2018 18:00,Wisła Płock,Korona Kielce,50%,50%,14,6,8,4,6,2,6,3,2,2,3,4,18,10,2,3,87,91,65,61,0,1,,,,,4,1
11,2017-2018,36,13.05.2018 18:00,Zagłębie Lubin,Jagiellonia Białystok,54%,46%,12,12,5,4,7,8,4,5,1,0,3,4,12,14,3,3,117,115,61,65,,,,,,,1,2
12,2017-2018,36,12.05.2018 15:30,Bruk-Bet T.,Arka Gdynia,45%,55%,14,16,6,6,8,10,3,5,2,2,5,4,13,6,,,94,124,49,72,,,,,,,2,1
13,2017-2018,36,12.05.2018 15:30,Pogoń Szczecin,Lechia Gdańsk,52%,48%,12,10,3,7,9,3,3,4,0,1,6,2,19,9,4,4,90,94,54,59,,,,,,,1,1
14,2017-2018,36,12.05.2018 15:30,Sandecja Nowy Sącz,Cracovia,55%,45%,13,13,5,3,8,10,9,6,1,0,2,5,17,8,3,0,80,60,60,52,,,,,,,0,1
15,2017-2018,36,12.05.2018 15:30,Śląsk Wrocław,Piast Gliwice,42%,58%,10,22,3,4,7,18,4,6,1,2,3,0,10,8,0,1,65,89,25,66,,,,,,,3,1
16,2017-2018,35,09.05.2018 20:30,Lech Poznań,Jagiellonia Białystok,63%,37%,13,7,2,2,11,5,2,2,1,3,0,2,16,19,1,2,117,98,71,37,,,,,,,0,2
17,2017-2018,35,09.05.2018 20:30,Wisła Kraków,Zagłębie Lubin,34%,66%,12,12,6,2,6,10,2,12,1,2,2,3,13,12,3,3,80,141,40,85,,,,,,,3,0
18,2017-2018,35,09.05.2018 18:00,Górnik Zabrze,Korona Kielce,51%,49%,17,9,4,2,13,7,10,6,2,2,0,2,8,22,2,3,82,73,72,50,,,,,,,2,2
19,2017-2018,35,09.05.2018 18:00,Legia Warszawa,Wisła Płock,41%,59%,11,11,5,7,6,4,2,5,0,1,5,2,15,14,3,4,71,90,30,58,1,0,,,,,3,2
20,2017-2018,35,08.05.2018 20:30,Arka Gdynia,Cracovia,52%,48%,12,12,5,4,7,8,6,2,0,1,4,3,26,20,2,4,107,88,67,56,,,,,,,2,0
21,2017-2018,35,08.05.2018 20:30,Śląsk Wrocław,Pogoń Szczecin,50%,50%,12,9,5,2,7,7,6,2,5,2,2,3,17,12,3,2,111,125,64,68,0,1,,,,,2,0
22,2017-2018,35,08.05.2018 18:00,Bruk-Bet T.,Sandecja Nowy Sącz,44%,56%,12,11,4,2,8,9,6,8,0,1,1,3,15,15,3,3,86,96,68,71,,,,,,,1,1
23,2017-2018,35,08.05.2018 18:00,Piast Gliwice,Lechia Gdańsk,60%,40%,16,5,4,4,12,1,11,1,2,1,2,4,15,13,1,2,103,104,114,83,,,,,,,0,2
24,2017-2018,34,06.05.2018 18:00,Jagiellonia Białystok,Legia Warszawa,61%,39%,13,1,1,0,12,1,5,2,4,5,1,1,13,11,1,3,129,101,79,40,,,,,,,0,0
25,2017-2018,34,06.05.2018 15:30,Korona Kielce,Wisła Kraków,63%,37%,14,8,2,4,12,4,11,2,4,1,1,2,12,16,3,4,114,73,111,37,,,,,,,0,3
26,2017-2018,34,06.05.2018 15:30,Zagłębie Lubin,Górnik Zabrze,66%,34%,15,12,3,4,12,8,11,0,1,0,2,3,21,11,2,1,107,96,75,43,,,,,,,0,2
27,2017-2018,34,05.05.2018 20:30,Wisła Płock,Lech Poznań,47%,53%,3,13,2,4,1,9,3,5,1,1,4,2,17,16,3,2,92,95,44,63,,,,,,,0,0
28,2017-2018,34,05.05.2018 18:00,Pogoń Szczecin,Arka Gdynia,49%,51%,16,9,7,4,9,5,3,5,2,1,2,4,15,19,2,6,102,86,58,41,0,1,,,,,3,2
29,2017-2018,34,05.05.2018 15:30,Sandecja Nowy Sącz,Piast Gliwice,55%,45%,12,10,3,3,9,7,2,4,1,2,2,1,20,15,0,3,97,70,70,55,,,,,,,2,1
30,2017-2018,34,04.05.2018 20:30,Lechia Gdańsk,Bruk-Bet T.,53%,47%,6,10,1,4,5,6,7,6,2,2,3,1,16,16,2,2,135,127,85,63,,,,,,,0,1
31,2017-2018,34,04.05.2018 18:00,Cracovia,Śląsk Wrocław,43%,57%,16,10,6,5,10,5,4,5,0,1,2,3,11,10,1,2,105,95,62,51,,,,,,,3,3
32,2017-2018,33,30.04.2018 18:00,Śląsk Wrocław,Lechia Gdańsk,31%,69%,10,10,5,3,5,7,2,4,2,1,2,2,18,13,4,4,97,128,50,88,,,,,,,3,1
33,2017-2018,33,29.04.2018 18:00,Jagiellonia Białystok,Wisła Kraków,52%,48%,18,8,4,3,14,5,14,5,2,3,2,4,10,10,2,4,52,56,91,56,,,,,,,0,1
34,2017-2018,33,29.04.2018 15:30,Cracovia,Bruk-Bet T.,51%,49%,13,9,7,3,6,6,1,4,0,0,1,3,11,21,3,4,77,86,48,52,0,1,,,,,4,2
35,2017-2018,33,28.04.2018 20:30,Lech Poznań,Górnik Zabrze,70%,30%,18,15,7,9,11,6,9,2,1,0,5,5,11,17,3,4,104,76,76,37,,,,,,,2,4
36,2017-2018,33,28.04.2018 18:00,Pogoń Szczecin,Sandecja Nowy Sącz,55%,45%,19,8,6,2,13,6,9,2,3,1,2,4,15,17,2,1,105,78,96,53,,,,,,,2,0
37,2017-2018,33,28.04.2018 15:30,Wisła Płock,Zagłębie Lubin,54%,46%,12,9,5,3,7,6,5,9,1,3,1,4,15,17,1,0,142,149,80,77,,,,,,,1,2
38,2017-2018,33,27.04.2018 20:30,Legia Warszawa,Korona Kielce,66%,34%,7,6,6,5,1,1,3,3,2,7,4,3,15,23,1,2,,,,,0,1,,,,,3,1
39,2017-2018,33,27.04.2018 18:00,Arka Gdynia,Piast Gliwice,53%,47%,9,11,3,9,6,2,7,7,0,2,4,2,12,14,1,2,88,79,62,48,1,0,,,,,1,5
40,2017-2018,32,23.04.2018 18:00,Lechia Gdańsk,Cracovia,59%,41%,6,12,1,3,5,9,8,5,4,0,3,1,20,7,3,2,46,40,35,32,,,,,,,0,0
41,2017-2018,32,22.04.2018 18:00,Wisła Kraków,Legia Warszawa,49%,51%,5,11,2,3,3,8,3,4,2,6,2,2,18,13,3,4,95,102,47,79,0,1,,,,,0,1
42,2017-2018,32,22.04.2018 15:30,Sandecja Nowy Sącz,Arka Gdynia,50%,50%,10,10,3,1,7,9,5,3,2,1,0,2,14,12,4,3,74,82,36,37,,,,,,,3,1
43,2017-2018,32,21.04.2018 20:30,Korona Kielce,Jagiellonia Białystok,68%,32%,10,10,4,7,6,3,3,2,2,1,4,4,14,17,3,3,98,87,83,36,,,,,,,0,3
44,2017-2018,32,21.04.2018 18:00,Górnik Zabrze,Wisła Płock,48%,52%,9,9,4,4,5,5,5,6,3,1,3,4,17,15,3,2,94,66,62,47,,,,,,,0,1
