,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Rzuty wolne_home,Rzuty wolne_away,goals_home,goals_away
0,2018-2019,37,19.05.2019 18:00,Cracovia,Pogoń Szczecin,53%,47%,9,10,4,7,5,3,7,7,1,4,4,4,13,17,2,3,369,246,85,71,78,46,,,,,0,3
1,2018-2019,37,19.05.2019 18:00,Lechia Gdańsk,Jagiellonia Białystok,42%,58%,16,15,8,3,8,12,5,2,3,1,3,6,21,17,2,3,306,450,87,83,80,65,,,,,2,0
2,2018-2019,37,19.05.2019 18:00,Legia Warszawa,Zagłębie Lubin,52%,48%,18,6,5,2,13,4,7,2,2,2,0,3,18,19,2,1,363,401,89,80,81,52,,,,,2,2
3,2018-2019,37,19.05.2019 18:00,Piast Gliwice,Lech Poznań,39%,61%,9,13,4,5,5,8,3,15,2,2,5,3,13,4,,,295,501,96,103,62,93,,,,,1,0
4,2018-2019,37,18.05.2019 15:30,Korona Kielce,Górnik Zabrze,54%,46%,12,13,3,9,9,4,3,2,1,5,6,3,15,17,1,1,326,281,95,87,75,57,,,,,0,3
5,2018-2019,37,18.05.2019 15:30,Śląsk Wrocław,Arka Gdynia,46%,54%,14,9,8,3,6,6,6,3,1,2,3,4,15,12,1,4,413,416,119,122,85,47,0,1,,,4,0
6,2018-2019,37,18.05.2019 15:30,Wisła Kraków,Miedź Legnica,58%,42%,14,25,6,11,8,14,3,8,3,3,6,2,13,15,4,2,384,297,60,66,60,64,,,,,4,5
7,2018-2019,37,18.05.2019 15:30,Wisła Płock,Zagłębie Sosnowiec,54%,46%,15,7,4,4,11,3,4,6,3,4,4,4,21,23,2,5,306,276,90,91,80,64,,,,,0,0
8,2018-2019,36,15.05.2019 20:30,Jagiellonia Białystok,Legia Warszawa,39%,61%,10,17,2,7,8,10,6,12,1,4,7,1,22,15,2,3,307,408,72,108,43,93,,,,,1,0
9,2018-2019,36,15.05.2019 20:30,Lech Poznań,Lechia Gdańsk,54%,46%,11,7,3,3,8,4,2,6,2,2,2,1,15,19,2,3,404,345,104,92,62,63,,,,,2,1
10,2018-2019,36,15.05.2019 20:30,Pogoń Szczecin,Piast Gliwice,53%,47%,12,10,3,3,9,7,8,5,0,1,3,3,13,8,,,452,386,135,139,90,79,,,,,0,0
