,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Podania celne_home,Podania celne_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Żółte kartki_home,Żółte kartki_away,Czerwone kartki_home,Czerwone kartki_away,Rzuty wolne_home,Rzuty wolne_away,Wrzuty z autu_home,Wrzuty z autu_away,Podania_home,Podania_away,goals_home,goals_away
0,2019-2020,37,19.07.2020 17:30,Lech Poznań,Jagiellonia Białystok,56%,44%,20,4,8,0,12,4,8,2,2,2,0,4,8,12,501,393,97,63,86,37,,,,,,,,,,,4,0
1,2019-2020,37,19.07.2020 17:30,Legia Warszawa,Pogoń Szczecin,46%,54%,8,8,3,5,5,3,2,4,2,1,3,2,10,8,350,438,105,96,52,77,2,3,,,,,,,,,1,2
2,2019-2020,37,19.07.2020 17:30,Piast Gliwice,Cracovia,51%,49%,16,11,2,5,14,6,8,7,0,0,4,1,10,11,359,379,87,87,90,73,0,3,,,,,,,,,1,1
3,2019-2020,37,19.07.2020 17:30,Śląsk Wrocław,Lechia Gdańsk,56%,44%,17,8,3,2,14,6,5,6,2,1,0,2,10,12,389,308,136,99,74,53,1,2,,,,,,,,,1,2
4,2019-2020,37,18.07.2020 17:30,Górnik Zabrze,Zagłębie Lubin,52%,48%,15,18,7,6,8,12,4,3,1,3,4,7,14,9,347,329,106,95,81,76,1,1,,,,,,,,,0,2
5,2019-2020,37,18.07.2020 17:30,Korona Kielce,ŁKS Łódź,42%,58%,16,12,6,2,10,10,4,9,2,3,2,4,21,11,335,416,74,85,63,72,3,1,,,,,,,,,2,0
6,2019-2020,37,18.07.2020 17:30,Raków Częstochowa,Wisła Płock,51%,49%,12,5,3,2,9,3,4,4,2,0,1,1,14,17,317,298,94,69,85,44,3,5,,,,,,,,,2,1
7,2019-2020,37,18.07.2020 17:30,Wisła Kraków,Arka Gdynia,55%,45%,24,8,7,3,17,5,13,2,2,1,2,7,18,13,363,286,95,79,98,44,1,1,,,,,,,,,0,1
8,2019-2020,36,15.07.2020 20:30,Cracovia,Lech Poznań,48%,52%,11,14,2,8,9,6,1,10,0,2,6,1,17,15,313,391,83,87,56,95,1,3,,,,,,,,,1,2
9,2019-2020,36,15.07.2020 20:30,Jagiellonia Białystok,Śląsk Wrocław,53%,47%,17,14,8,6,9,8,6,4,2,2,5,6,14,13,394,329,102,93,81,61,1,3,0,1,,,,,,,2,1
10,2019-2020,36,15.07.2020 20:30,Lechia Gdańsk,Legia Warszawa,60%,40%,5,12,2,2,3,10,4,5,3,2,2,2,10,13,498,294,123,81,78,69,1,2,,,,,,,,,0,0
11,2019-2020,36,15.07.2020 20:30,Pogoń Szczecin,Piast Gliwice,45%,55%,11,16,5,5,6,11,4,6,0,0,5,4,15,14,328,430,84,118,57,82,3,2,,,,,,,,,1,0
12,2019-2020,36,14.07.2020 20:30,Arka Gdynia,Górnik Zabrze,51%,49%,14,12,6,4,8,8,12,4,5,4,2,5,11,12,353,306,89,99,96,77,1,2,0,1,,,,,,,1,2
13,2019-2020,36,14.07.2020 20:30,ŁKS Łódź,Raków Częstochowa,63%,37%,17,9,6,1,11,8,5,9,1,1,0,3,15,22,482,260,142,123,100,70,,,,,,,,,,,3,2
14,2019-2020,36,14.07.2020 20:30,Wisła Płock,Korona Kielce,59%,41%,10,11,4,3,6,8,2,3,2,0,2,1,19,17,444,281,102,95,45,51,,,,,,,,,,,3,1
15,2019-2020,36,14.07.2020 20:30,Zagłębie Lubin,Wisła Kraków,60%,40%,22,7,9,4,13,3,6,2,1,2,3,6,17,5,501,316,122,95,98,54,,,,,,,,,,,3,1
16,2019-2020,35,12.07.2020 17:30,Lech Poznań,Lechia Gdańsk,53%,47%,18,17,7,6,11,11,4,5,1,5,4,4,9,10,397,336,91,84,69,54,2,1,0,1,,,,,,,3,2
