,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Podania celne_home,Podania celne_away,Czerwone kartki_home,Czerwone kartki_away,Strzały zablokowane_home,Strzały zablokowane_away,goals_home,goals_away
0,2020-2021,30,16.05.2021 17:30,Cracovia,Warta Poznań,46%,54%,5,7,0,2,5,5,5,6,3,2,1,0,16,13,1,2,87,103,55,80,,,,,,,0,1
1,2020-2021,30,16.05.2021 17:30,Jagiellonia Białystok,Lechia Gdańsk,40%,60%,15,18,7,6,8,12,6,8,3,4,5,5,14,12,5,4,97,112,65,91,,,,,,,2,1
2,2020-2021,30,16.05.2021 17:30,Lech Poznań,Górnik Zabrze,55%,45%,15,15,8,7,7,8,10,6,1,1,6,7,13,7,2,1,84,99,74,65,431,363,,,,,1,1
3,2020-2021,30,16.05.2021 17:30,Legia Warszawa,Podbeskidzie B-B,60%,40%,13,13,4,4,9,9,4,7,0,2,4,3,9,12,,,101,64,79,75,422,302,,,,,1,0
4,2020-2021,30,16.05.2021 17:30,Piast Gliwice,Wisła Kraków,66%,34%,19,9,6,7,13,2,5,2,2,3,4,4,14,21,1,3,114,58,104,51,469,237,,,,,2,3
5,2020-2021,30,16.05.2021 17:30,Pogoń Szczecin,Raków Częstochowa,65%,35%,15,9,3,6,12,3,6,1,2,2,3,2,13,14,0,2,96,83,80,55,471,245,,,,,1,3
6,2020-2021,30,16.05.2021 17:30,Śląsk Wrocław,Stal Mielec,49%,51%,14,14,4,7,10,7,2,9,1,2,6,3,7,13,0,4,99,92,67,64,378,374,,,,,1,1
7,2020-2021,30,16.05.2021 17:30,Wisła Płock,Zagłębie Lubin,52%,48%,16,8,10,2,6,6,4,4,2,1,2,6,9,18,3,2,99,93,72,45,339,369,,,,,4,0
8,2020-2021,29,10.05.2021 18:00,Raków Częstochowa,Piast Gliwice,40%,60%,9,13,6,1,3,12,4,2,2,1,1,5,16,14,1,2,33,32,24,17,312,502,,,,,1,0
9,2020-2021,29,09.05.2021 17:30,Stal Mielec,Legia Warszawa,35%,65%,9,11,5,3,4,8,2,4,0,4,3,5,11,15,3,3,68,112,46,84,223,496,,,,,0,0
10,2020-2021,29,09.05.2021 15:00,Warta Poznań,Śląsk Wrocław,45%,55%,9,14,3,7,6,7,5,11,1,2,4,1,15,14,1,1,82,97,52,71,309,393,,,,,2,3
11,2020-2021,29,08.05.2021 20:00,Wisła Kraków,Lech Poznań,36%,64%,6,15,1,4,5,11,2,8,0,3,2,1,18,14,1,4,82,125,52,93,252,560,,,,,1,2
12,2020-2021,29,08.05.2021 17:30,Lechia Gdańsk,Cracovia,56%,44%,16,9,3,2,13,7,9,2,1,3,1,2,12,8,4,2,111,90,97,54,382,343,,,,,1,1
13,2020-2021,29,08.05.2021 15:00,Podbeskidzie B-B,Wisła Płock,52%,48%,9,9,2,2,7,7,4,5,1,2,1,1,18,16,3,2,104,103,72,77,342,289,,,,,1,1
14,2020-2021,29,07.05.2021 20:30,Zagłębie Lubin,Pogoń Szczecin,58%,42%,10,10,1,5,9,5,5,5,0,2,4,0,8,11,4,2,81,80,70,71,519,294,,,,,1,1
15,2020-2021,29,07.05.2021 18:00,Górnik Zabrze,Jagiellonia Białystok,50%,50%,18,12,7,3,11,9,8,3,0,0,2,4,5,9,2,1,123,90,97,52,382,439,,,,,3,1
16,2020-2021,23,05.05.2021 19:00,Stal Mielec,Raków Częstochowa,46%,54%,7,11,3,2,4,9,2,5,0,3,2,3,17,16,1,1,83,98,51,68,329,381,,,,,0,1
17,2020-2021,28,03.05.2021 17:30,Cracovia,Górnik Zabrze,44%,56%,12,15,3,3,9,12,1,6,0,0,3,2,19,15,4,7,86,104,52,85,274,359,,,,,1,0
18,2020-2021,28,03.05.2021 15:00,Piast Gliwice,Podbeskidzie B-B,50%,50%,10,13,4,4,6,9,4,9,3,0,4,2,16,15,0,1,101,97,61,91,360,385,,,,,2,0
19,2020-2021,28,01.05.2021 20:00,Lech Poznań,Stal Mielec,69%,31%,19,6,3,4,16,2,3,2,3,0,2,2,18,7,2,2,97,54,85,35,625,250,,,,,1,2
20,2020-2021,28,01.05.2021 17:30,Pogoń Szczecin,Warta Poznań,73%,27%,15,6,3,2,12,4,5,2,1,3,1,2,15,17,,,104,85,93,33,562,183,,,,,1,1
21,2020-2021,28,01.05.2021 15:00,Legia Warszawa,Wisła Kraków,63%,37%,7,7,2,2,5,5,7,4,1,2,2,2,16,14,1,3,96,85,63,42,525,211,,,,,0,0
22,2020-2021,28,30.04.2021 20:30,Śląsk Wrocław,Zagłębie Lubin,44%,56%,15,7,1,1,14,6,3,7,1,3,1,1,15,13,0,2,117,135,58,80,309,450,0,1,,,0,0
23,2020-2021,28,30.04.2021 18:00,Wisła Płock,Lechia Gdańsk,63%,37%,19,8,10,4,9,4,9,9,2,2,1,9,12,19,2,2,108,84,91,49,399,232,,,,,1,3
24,2020-2021,28,28.04.2021 19:00,Jagiellonia Białystok,Raków Częstochowa,50%,50%,10,9,6,5,4,4,4,7,0,3,5,6,12,10,1,3,108,115,62,74,426,399,,,,,0,0
25,2020-2021,27,25.04.2021 17:30,Lechia Gdańsk,Legia Warszawa,46%,54%,6,15,0,4,6,11,4,9,1,1,3,0,16,14,3,2,111,119,59,97,347,477,,,,,0,1
26,2020-2021,27,25.04.2021 15:00,Stal Mielec,Pogoń Szczecin,34%,66%,5,23,2,7,3,16,4,11,2,4,7,1,13,11,3,1,70,102,61,113,188,466,,,,,1,0
27,2020-2021,27,25.04.2021 12:30,Warta Poznań,Jagiellonia Białystok,50%,50%,13,9,6,3,7,6,8,6,2,0,3,4,9,21,0,2,110,90,81,68,305,348,,,,,2,0
28,2020-2021,27,24.04.2021 20:00,Wisła Kraków,Cracovia,63%,37%,12,10,2,2,10,8,10,3,4,1,2,2,16,13,3,2,89,83,102,56,328,200,,,,,0,0
29,2020-2021,27,24.04.2021 17:30,Zagłębie Lubin,Piast Gliwice,47%,53%,5,13,3,6,2,7,2,8,3,2,4,1,11,8,1,1,128,131,78,100,379,417,,,,,2,2
30,2020-2021,27,24.04.2021 15:00,Górnik Zabrze,Wisła Płock,58%,42%,12,8,4,4,8,4,5,1,3,0,2,4,11,22,3,4,133,77,99,56,406,250,,,,,0,2
31,2020-2021,27,23.04.2021 20:30,Podbeskidzie B-B,Lech Poznań,43%,57%,11,12,3,4,8,8,5,4,1,2,4,2,14,13,2,4,88,85,78,62,279,458,,,,,1,0
32,2020-2021,27,23.04.2021 18:00,Raków Częstochowa,Śląsk Wrocław,44%,56%,13,8,6,4,7,4,10,1,0,0,4,4,14,24,2,2,69,76,56,38,270,460,0,1,,,2,0
33,2020-2021,26,21.04.2021 20:30,Cracovia,Wisła Płock,39%,61%,10,4,4,1,6,3,3,5,4,0,1,3,11,19,1,4,80,93,61,80,231,381,0,1,,,1,0
34,2020-2021,26,21.04.2021 20:30,Piast Gliwice,Legia Warszawa,42%,58%,5,27,0,5,5,22,1,10,2,1,4,0,10,13,2,1,89,99,55,96,328,485,,,,,0,1
35,2020-2021,26,21.04.2021 18:00,Jagiellonia Białystok,Stal Mielec,51%,49%,17,17,8,9,9,8,5,6,4,3,6,5,13,8,1,1,121,114,80,74,381,396,,,,,3,3
36,2020-2021,26,21.04.2021 18:00,Zagłębie Lubin,Wisła Kraków,56%,44%,13,13,8,4,5,9,1,8,2,1,3,4,11,21,2,4,122,100,78,71,377,251,,,,,4,1
37,2020-2021,26,20.04.2021 20:30,Lech Poznań,Lechia Gdańsk,53%,47%,14,7,5,1,9,6,6,5,2,0,1,2,21,14,2,3,71,87,57,74,405,350,,,,,3,0
38,2020-2021,26,20.04.2021 20:30,Śląsk Wrocław,Podbeskidzie B-B,47%,53%,16,18,6,8,10,10,4,5,4,3,5,2,8,10,,,105,129,69,92,330,357,,,,,4,3
39,2020-2021,26,20.04.2021 18:00,Pogoń Szczecin,Górnik Zabrze,56%,44%,9,9,2,2,7,7,6,4,1,1,2,1,8,13,2,5,107,93,68,74,399,359,,,,,1,0
40,2020-2021,26,20.04.2021 18:00,Warta Poznań,Raków Częstochowa,55%,45%,11,8,4,6,7,2,5,4,1,1,4,4,18,10,0,1,91,95,59,58,431,336,,,,,0,2
41,2020-2021,25,18.04.2021 17:30,Legia Warszawa,Cracovia,64%,36%,20,10,6,4,14,6,9,0,1,1,4,6,16,18,0,2,105,75,84,34,499,220,,,,,0,0
42,2020-2021,25,18.04.2021 15:00,Wisła Płock,Jagiellonia Białystok,48%,52%,13,16,6,7,7,9,2,10,0,3,5,4,7,18,2,2,100,91,53,70,369,362,,,,,2,2
43,2020-2021,25,18.04.2021 12:30,Stal Mielec,Zagłębie Lubin,53%,47%,28,12,4,5,24,7,15,6,1,0,3,4,15,10,1,1,96,85,107,65,381,335,,,,,0,2
44,2020-2021,25,17.04.2021 20:00,Wisła Kraków,Warta Poznań,50%,50%,17,13,1,7,16,6,12,5,1,3,6,1,16,10,2,2,85,79,99,55,288,318,,,,,0,1
45,2020-2021,25,17.04.2021 17:30,Raków Częstochowa,Lech Poznań,37%,63%,8,12,6,3,2,9,4,7,1,0,2,3,11,18,,,83,88,54,70,260,567,,,,,3,1
46,2020-2021,25,17.04.2021 15:00,Lechia Gdańsk,Piast Gliwice,59%,41%,14,17,6,8,8,9,5,7,0,2,6,4,12,15,2,1,130,95,98,72,480,321,,,,,2,2
47,2020-2021,25,16.04.2021 20:30,Górnik Zabrze,Śląsk Wrocław,50%,50%,13,9,7,4,6,5,7,3,2,0,3,6,24,11,4,3,122,103,83,62,393,366,,,,,1,1
48,2020-2021,25,16.04.2021 18:00,Podbeskidzie B-B,Pogoń Szczecin,52%,48%,10,11,5,8,5,3,9,7,1,2,6,5,11,10,4,3,101,78,81,62,375,320,,,,,0,2
49,2020-2021,24,12.04.2021 18:00,Piast Gliwice,Górnik Zabrze,48%,52%,12,10,5,3,7,7,5,7,3,1,3,3,10,13,0,2,89,121,59,92,322,396,,,,,2,0
50,2020-2021,24,11.04.2021 17:30,Lech Poznań,Legia Warszawa,48%,52%,10,6,3,6,7,0,2,6,4,3,6,3,19,10,3,1,80,84,49,51,370,377,,,,,0,0
51,2020-2021,24,11.04.2021 15:00,Zagłębie Lubin,Podbeskidzie B-B,55%,45%,15,16,7,5,8,11,7,5,1,3,4,5,12,18,4,0,100,84,64,46,462,308,,,,,2,1
52,2020-2021,24,10.04.2021 20:00,Śląsk Wrocław,Lechia Gdańsk,53%,47%,14,11,5,5,9,6,4,2,2,3,4,4,15,12,2,2,123,130,75,71,437,373,,,,,1,1
53,2020-2021,24,10.04.2021 17:30,Warta Poznań,Stal Mielec,49%,51%,15,7,2,1,13,6,7,4,2,2,1,2,10,10,1,3,114,110,70,51,352,358,,,,,0,0
54,2020-2021,24,10.04.2021 15:00,Pogoń Szczecin,Wisła Płock,51%,49%,10,6,5,0,5,6,3,8,2,0,0,3,10,10,1,0,206,175,114,105,392,454,,,,,2,0
55,2020-2021,24,09.04.2021 20:30,Wisła Kraków,Raków Częstochowa,58%,42%,15,11,6,5,9,6,5,3,0,1,3,5,23,10,5,2,95,76,86,60,397,274,,,,,1,2
56,2020-2021,24,09.04.2021 18:00,Jagiellonia Białystok,Cracovia,48%,52%,10,14,4,6,6,8,1,8,0,3,5,2,16,15,3,3,84,83,48,77,357,397,,,,,2,1
57,2020-2021,23,05.04.2021 20:00,Lechia Gdańsk,Zagłębie Lubin,43%,57%,16,17,7,4,9,13,3,4,2,1,3,4,20,18,2,4,96,96,57,68,295,455,,,,,3,1
58,2020-2021,23,05.04.2021 17:30,Jagiellonia Białystok,Śląsk Wrocław,57%,43%,16,15,4,3,12,12,6,7,3,3,2,4,15,12,5,2,128,108,80,71,464,270,1,0,,,0,1
59,2020-2021,23,05.04.2021 15:00,Podbeskidzie B-B,Wisła Kraków,45%,55%,23,19,8,4,15,15,6,5,0,2,4,6,19,11,3,2,83,97,53,74,279,389,,,,,2,0
60,2020-2021,23,05.04.2021 12:30,Górnik Zabrze,Warta Poznań,60%,40%,11,14,1,7,10,7,10,7,2,4,5,0,10,10,3,0,103,95,84,75,405,224,,,,,1,2
61,2020-2021,23,03.04.2021 20:00,Cracovia,Lech Poznań,42%,58%,11,11,5,3,6,8,3,4,3,1,2,3,11,15,5,1,98,117,63,71,262,430,,,,,2,1
62,2020-2021,23,03.04.2021 17:30,Legia Warszawa,Pogoń Szczecin,42%,58%,14,14,7,6,7,8,3,4,1,0,4,3,15,15,3,4,71,90,31,38,359,437,,,,,4,2
63,2020-2021,23,03.04.2021 12:30,Wisła Płock,Piast Gliwice,59%,41%,6,10,2,2,4,8,6,5,2,3,1,2,18,14,3,4,109,96,53,47,473,278,,,,,0,1
64,2020-2021,22,21.03.2021 17:30,Zagłębie Lubin,Legia Warszawa,49%,51%,4,12,1,7,3,5,0,5,1,1,3,1,10,15,0,1,99,117,56,80,429,409,,,,,0,4
65,2020-2021,22,21.03.2021 15:00,Wisła Kraków,Stal Mielec,58%,42%,17,8,7,4,10,4,7,3,4,0,3,4,9,11,4,2,95,74,92,58,383,239,,,,,3,1
66,2020-2021,22,21.03.2021 12:30,Warta Poznań,Podbeskidzie B-B,57%,43%,8,4,2,0,6,4,4,1,2,0,0,0,16,21,0,2,105,87,70,38,326,265,,,,,2,0
67,2020-2021,22,20.03.2021 20:00,Lech Poznań,Jagiellonia Białystok,63%,37%,15,9,7,5,8,4,8,4,3,2,2,5,17,12,2,4,150,113,113,50,534,285,0,1,,,2,3
68,2020-2021,22,20.03.2021 17:30,Raków Częstochowa,Górnik Zabrze,58%,42%,16,6,8,1,8,5,14,3,2,1,1,8,17,17,0,2,94,87,92,49,350,297,,,,,0,0
69,2020-2021,22,20.03.2021 15:00,Śląsk Wrocław,Wisła Płock,49%,51%,16,12,5,4,11,8,9,5,1,1,4,5,23,9,3,0,92,91,81,74,367,383,,,,,0,0
70,2020-2021,22,19.03.2021 20:30,Pogoń Szczecin,Lechia Gdańsk,53%,47%,18,11,7,4,11,7,5,3,1,0,4,6,6,13,1,4,99,97,76,62,470,369,,,,,1,0
71,2020-2021,22,19.03.2021 18:00,Piast Gliwice,Cracovia,47%,53%,12,10,6,4,6,6,2,6,1,2,4,4,17,18,3,1,107,104,65,90,360,419,,,,,2,0
72,2020-2021,21,15.03.2021 18:00,Stal Mielec,Podbeskidzie B-B,55%,45%,18,13,5,6,13,7,5,2,3,1,5,3,16,17,2,2,84,100,86,67,310,244,1,0,,,2,1
73,2020-2021,21,14.03.2021 17:30,Lech Poznań,Piast Gliwice,60%,40%,13,11,7,5,6,6,7,6,1,0,5,7,8,8,1,1,76,59,70,46,511,307,,,,,0,0
74,2020-2021,21,14.03.2021 15:00,Górnik Zabrze,Zagłębie Lubin,43%,57%,17,18,9,8,8,10,0,4,0,2,8,7,13,14,1,0,116,115,67,81,306,415,,,,,2,0
75,2020-2021,21,13.03.2021 20:00,Legia Warszawa,Warta Poznań,56%,44%,15,9,8,5,7,4,4,3,3,0,3,5,15,16,2,2,124,105,77,64,426,336,,,,,3,2
76,2020-2021,21,13.03.2021 17:30,Lechia Gdańsk,Wisła Kraków,46%,54%,15,16,7,4,8,12,5,7,2,2,4,5,19,14,1,3,117,96,79,84,234,304,,,,,2,0
77,2020-2021,21,13.03.2021 15:00,Wisła Płock,Raków Częstochowa,48%,52%,6,14,3,4,3,10,2,9,0,1,2,2,21,17,3,1,73,88,31,69,335,343,,,,,2,2
78,2020-2021,21,12.03.2021 20:30,Jagiellonia Białystok,Pogoń Szczecin,45%,55%,6,8,2,3,4,5,1,7,1,2,2,2,18,12,5,5,104,120,78,72,265,366,2,1,,,0,1
79,2020-2021,21,12.03.2021 18:00,Cracovia,Śląsk Wrocław,37%,63%,12,10,6,7,6,3,3,5,3,2,6,5,13,14,3,1,84,107,70,87,267,430,,,,,1,1
80,2020-2021,20,08.03.2021 18:00,Warta Poznań,Wisła Płock,50%,50%,9,10,5,2,4,8,4,4,1,1,2,3,18,12,1,1,88,101,41,57,276,394,,,,,2,0
81,2020-2021,20,07.03.2021 17:30,Śląsk Wrocław,Legia Warszawa,46%,54%,11,11,4,2,7,9,2,4,0,2,1,4,17,12,3,2,85,100,61,73,378,434,,,,,0,1
82,2020-2021,20,07.03.2021 15:00,Pogoń Szczecin,Lech Poznań,57%,43%,15,12,4,4,11,8,8,3,1,1,3,4,13,16,2,1,97,69,91,47,456,357,,,,,0,1
83,2020-2021,20,07.03.2021 12:30,Piast Gliwice,Stal Mielec,58%,42%,14,15,4,8,10,7,4,2,2,3,7,2,9,19,0,2,130,90,94,64,402,285,,,,,2,1
