,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,Czerwone kartki_home,Czerwone kartki_away,Skuteczność podań_home,Skuteczność podań_away,goals_home,goals_away
0,2021-2022,34,21.05.2022 17:30,Górnik Łęczna,Jagiellonia Białystok,47%,53%,10,14,2,4,5,5,3,5,16,18,4,5,0,2,14,11,3,2,20,12,4,3,389,447,321,374,13,17,81,87,52,72,,,,,0,1
1,2021-2022,34,21.05.2022 17:30,Lech Poznań,Zagłębie Lubin,56%,44%,21,15,9,6,11,4,1,5,14,7,4,7,0,2,31,15,5,7,9,13,1,2,457,353,370,257,8,13,85,89,61,53,,,,,2,1
2,2021-2022,34,21.05.2022 17:30,Legia Warszawa,Cracovia,51%,49%,12,15,4,2,6,7,2,6,14,16,4,7,1,3,17,21,2,1,16,11,2,0,432,408,347,330,20,15,68,72,49,60,,,,,3,0
3,2021-2022,34,21.05.2022 17:30,Piast Gliwice,Radomiak Radom,51%,49%,14,10,3,2,7,6,4,2,20,10,7,3,1,2,12,13,1,2,10,20,1,2,445,434,364,372,16,16,86,82,84,55,,,,,1,1
4,2021-2022,34,21.05.2022 17:30,Pogoń Szczecin,Bruk-Bet T.,54%,46%,21,13,6,4,9,7,6,2,9,8,8,8,1,2,24,18,2,4,10,10,2,3,441,373,356,297,26,16,82,67,87,60,,,,,2,2
5,2021-2022,34,21.05.2022 17:30,Raków Częstochowa,Lechia Gdańsk,49%,51%,18,7,9,3,6,3,3,1,17,16,6,1,3,0,19,24,3,6,14,16,1,4,426,448,330,349,14,8,110,89,113,59,,,,,3,0
6,2021-2022,34,21.05.2022 17:30,Śląsk Wrocław,Górnik Zabrze,51%,49%,20,12,8,6,8,2,4,4,7,9,9,2,2,1,23,19,2,5,7,7,1,0,448,452,377,374,13,16,127,86,93,56,,,,,3,4
7,2021-2022,34,21.05.2022 17:30,Wisła Kraków,Warta Poznań,54%,46%,18,4,5,2,11,1,2,1,9,18,7,3,0,1,37,14,1,5,19,11,2,2,412,368,334,285,9,13,109,103,89,28,,,,,0,1
8,2021-2022,34,21.05.2022 17:30,Wisła Płock,Stal Mielec,56%,44%,18,14,10,2,5,7,3,5,12,13,13,3,2,0,17,19,2,7,10,13,3,1,429,340,345,269,14,17,90,74,81,47,,,,,3,0
9,2021-2022,33,15.05.2022 17:30,Radomiak Radom,Wisła Kraków,55%,45%,15,20,5,2,7,7,3,11,15,15,4,5,4,1,24,33,0,1,15,14,2,0,383,307,291,211,19,24,88,67,53,46,,,,,4,2
10,2021-2022,33,15.05.2022 15:00,Górnik Zabrze,Górnik Łęczna,64%,36%,15,5,6,3,4,2,5,0,17,11,4,3,2,3,15,20,1,2,8,14,3,3,559,245,484,157,18,22,120,77,90,40,,,,,4,2
11,2021-2022,33,15.05.2022 12:30,Stal Mielec,Śląsk Wrocław,60%,40%,12,13,5,4,4,5,3,4,22,11,8,4,2,2,28,14,3,4,9,21,3,8,495,335,399,240,17,15,112,86,93,61,0,1,,,1,1
12,2021-2022,33,14.05.2022 20:00,Lechia Gdańsk,Pogoń Szczecin,51%,49%,12,17,4,3,4,9,4,5,12,16,9,6,1,3,20,25,3,4,15,8,2,4,452,384,369,304,26,16,80,92,70,66,0,1,,,0,0
13,2021-2022,33,14.05.2022 17:30,Zagłębie Lubin,Raków Częstochowa,46%,54%,16,13,5,2,8,7,3,4,6,14,2,9,1,2,13,19,2,4,16,9,6,3,317,439,229,339,10,12,86,111,68,96,0,1,,,1,0
14,2021-2022,33,14.05.2022 15:00,Warta Poznań,Lech Poznań,46%,54%,8,16,3,3,4,9,1,4,9,14,0,4,0,0,20,22,1,2,15,8,2,2,433,506,326,394,18,9,86,117,26,61,,,,,1,2
15,2021-2022,33,14.05.2022 12:30,Bruk-Bet T.,Piast Gliwice,57%,43%,18,11,3,3,9,6,6,2,16,18,4,7,3,1,27,17,2,3,18,17,2,0,436,331,334,236,14,6,80,75,67,41,,,,,0,1
16,2021-2022,33,13.05.2022 20:30,Jagiellonia Białystok,Legia Warszawa,39%,61%,18,20,7,5,8,6,3,9,10,7,7,4,1,0,19,16,3,5,7,12,2,4,367,580,279,509,16,13,88,115,60,85,,,,,2,2
17,2021-2022,33,13.05.2022 18:00,Cracovia,Wisła Płock,54%,46%,27,5,6,0,15,3,6,2,11,12,7,5,1,1,23,22,0,3,11,10,1,1,423,370,351,285,18,12,95,80,90,62,,,,,3,0
18,2021-2022,32,09.05.2022 18:00,Górnik Łęczna,Bruk-Bet T.,42%,58%,8,20,2,6,3,9,3,5,15,10,3,8,1,3,18,28,5,1,11,11,5,6,303,407,209,301,12,17,86,112,47,98,1,0,,,1,1
19,2021-2022,32,08.05.2022 17:30,Piast Gliwice,Lech Poznań,45%,55%,9,11,2,4,5,6,2,1,18,8,1,5,0,0,23,15,2,1,10,18,3,3,389,468,297,386,18,16,66,75,54,67,,,,,1,2
20,2021-2022,32,08.05.2022 15:00,Raków Częstochowa,Cracovia,55%,45%,17,7,3,1,10,5,4,1,8,17,7,6,3,0,29,18,0,2,11,11,3,3,356,302,265,212,21,22,99,79,92,46,,,,,1,1
21,2021-2022,32,08.05.2022 12:30,Lechia Gdańsk,Stal Mielec,52%,48%,15,14,7,7,6,5,2,2,11,27,4,8,4,1,27,15,5,4,24,11,4,4,382,337,285,247,9,18,71,71,64,57,0,1,,,3,2
22,2021-2022,32,07.05.2022 20:00,Wisła Kraków,Jagiellonia Białystok,68%,32%,12,8,2,2,8,3,2,3,16,12,6,3,2,4,25,24,2,2,12,16,0,3,546,267,426,157,18,25,97,87,73,49,,,,,0,0
23,2021-2022,32,07.05.2022 17:30,Śląsk Wrocław,Pogoń Szczecin,37%,63%,11,20,5,10,6,4,0,6,11,11,1,7,2,1,23,20,9,4,7,9,2,0,325,564,240,473,16,16,91,123,44,88,,,,,1,1
24,2021-2022,32,07.05.2022 15:00,Wisła Płock,Warta Poznań,65%,35%,8,14,1,7,5,4,2,3,21,15,2,3,2,1,20,19,4,1,13,19,1,2,572,298,475,219,14,16,94,90,44,67,,,,,0,3
25,2021-2022,32,06.05.2022 20:30,Legia Warszawa,Górnik Zabrze,46%,54%,16,7,7,3,5,3,4,1,14,12,3,5,2,1,28,30,0,2,13,15,1,2,372,434,281,341,18,20,106,105,60,45,,,,,5,3
26,2021-2022,32,06.05.2022 18:00,Radomiak Radom,Zagłębie Lubin,66%,34%,10,9,4,7,5,2,1,0,20,10,4,1,0,0,30,16,1,3,10,23,2,2,507,265,409,176,16,16,92,69,52,35,,,,,1,6
27,2021-2022,31,01.05.2022 17:30,Cracovia,Wisła Kraków,52%,48%,17,9,5,3,8,5,4,1,14,16,4,4,2,0,21,24,3,5,14,14,2,1,359,339,267,234,21,13,95,82,66,58,,,,,0,0
28,2021-2022,31,01.05.2022 15:00,Bruk-Bet T.,Wisła Płock,35%,65%,11,11,5,4,2,5,4,2,7,17,7,9,0,2,22,27,4,4,16,7,2,1,266,512,182,432,11,10,71,68,56,64,,,,,1,0
29,2021-2022,31,30.04.2022 20:00,Stal Mielec,Legia Warszawa,40%,60%,9,6,3,5,3,1,3,0,20,12,5,2,1,6,25,34,4,1,10,16,2,5,299,470,198,369,17,16,101,120,56,51,,,,,2,1
30,2021-2022,31,30.04.2022 17:30,Zagłębie Lubin,Lechia Gdańsk,55%,45%,22,3,7,1,9,1,6,1,12,21,8,1,6,1,23,21,0,5,15,12,1,2,428,372,329,240,19,15,72,59,98,57,,,,,2,2
31,2021-2022,31,30.04.2022 15:00,Jagiellonia Białystok,Śląsk Wrocław,50%,50%,18,8,5,2,6,3,7,3,25,13,9,3,0,2,16,13,1,4,13,23,3,2,366,367,278,272,7,9,118,82,78,69,,,,,1,1
32,2021-2022,31,29.04.2022 20:30,Górnik Zabrze,Radomiak Radom,47%,53%,13,8,8,1,3,4,2,3,16,14,5,3,1,2,18,15,1,8,13,13,2,5,462,522,364,430,17,14,101,95,74,46,,,,,0,0
33,2021-2022,31,29.04.2022 18:00,Warta Poznań,Piast Gliwice,46%,54%,7,11,3,3,2,4,2,4,17,14,4,4,1,2,23,25,1,1,13,16,3,2,390,470,294,361,7,12,105,96,49,57,,,,,2,3
34,2021-2022,30,25.04.2022 19:00,Wisła Kraków,Wisła Płock,42%,58%,15,9,6,5,7,1,2,3,13,18,3,0,1,2,16,22,1,3,17,12,4,1,408,576,335,483,16,16,86,77,78,44,,,,,3,4
35,2021-2022,30,24.04.2022 17:30,Pogoń Szczecin,Legia Warszawa,47%,53%,13,17,5,3,2,7,6,7,16,8,3,7,1,2,17,19,2,2,6,14,1,1,368,398,276,314,12,18,70,67,67,80,1,0,,,3,1
36,2021-2022,30,24.04.2022 15:00,Raków Częstochowa,Górnik Łęczna,58%,42%,21,5,7,4,7,0,7,1,22,20,11,2,1,2,22,10,3,5,16,20,4,3,404,300,322,202,11,14,123,83,101,39,,,,,2,1
37,2021-2022,30,24.04.2022 12:30,Lech Poznań,Stal Mielec,61%,39%,23,8,4,2,10,4,9,2,11,13,10,7,4,3,19,13,1,1,9,10,1,1,505,321,411,236,15,6,102,75,96,42,,,,,3,1
38,2021-2022,30,23.04.2022 20:00,Lechia Gdańsk,Warta Poznań,61%,39%,10,16,3,2,5,7,2,7,15,15,1,7,1,2,23,23,2,1,14,15,2,4,547,337,437,237,16,16,99,96,51,70,,,,,2,0
39,2021-2022,30,23.04.2022 17:30,Piast Gliwice,Jagiellonia Białystok,43%,57%,11,14,5,7,4,4,2,3,18,12,3,9,4,2,16,18,6,3,8,17,0,3,344,457,259,368,23,17,84,104,56,78,,,75,79,2,1
40,2021-2022,30,23.04.2022 15:00,Śląsk Wrocław,Bruk-Bet T.,46%,54%,13,16,2,4,9,7,2,5,13,16,4,4,1,2,24,22,0,2,18,13,5,3,343,414,259,331,8,11,81,128,61,79,1,0,,,0,4
41,2021-2022,30,22.04.2022 20:30,Zagłębie Lubin,Górnik Zabrze,55%,45%,23,17,5,6,8,5,10,6,6,12,8,5,1,0,31,28,2,3,12,9,1,2,443,370,348,281,17,13,101,98,90,52,,,,,2,4
42,2021-2022,30,22.04.2022 18:00,Radomiak Radom,Cracovia,58%,42%,14,5,1,2,9,1,4,2,19,19,5,3,0,3,33,21,1,1,19,18,4,2,366,281,261,178,8,21,105,74,76,26,,,,,0,1
43,2021-2022,31,20.04.2022 20:30,Pogoń Szczecin,Raków Częstochowa,63%,37%,16,10,6,5,9,1,1,4,14,15,4,7,3,2,21,13,3,5,12,14,2,3,516,298,423,218,15,9,87,66,69,63,,,,,1,2
44,2021-2022,31,20.04.2022 18:00,Lech Poznań,Górnik Łęczna,64%,36%,29,12,11,4,12,6,6,2,9,13,16,5,1,1,13,10,4,8,12,9,3,0,568,313,492,235,12,13,120,83,96,44,,,,,3,0
45,2021-2022,29,18.04.2022 20:00,Legia Warszawa,Piast Gliwice,68%,32%,14,14,1,5,8,6,5,3,13,16,6,5,0,1,28,20,4,1,17,12,2,3,601,276,503,195,17,21,122,80,96,55,,,,,0,1
46,2021-2022,29,18.04.2022 17:30,Górnik Zabrze,Lechia Gdańsk,47%,53%,18,16,3,6,11,4,4,6,16,18,5,9,4,3,17,16,3,2,18,15,1,1,338,381,246,293,11,9,49,52,61,55,,,,,1,3
47,2021-2022,29,18.04.2022 15:00,Śląsk Wrocław,Wisła Kraków,44%,56%,18,10,8,2,6,6,4,2,11,10,3,1,1,2,20,22,1,7,9,9,0,2,440,569,342,470,22,22,47,48,39,39,,,,,1,1
48,2021-2022,29,18.04.2022 12:30,Cracovia,Zagłębie Lubin,42%,58%,20,14,5,2,6,4,9,8,12,10,5,8,1,1,13,28,2,4,11,15,3,3,339,456,229,368,18,14,52,59,53,68,,,,,1,0
