,Season,Round,Date,Team_Home,Team_Away,Posiadanie piłki_home,Posiadanie piłki_away,Sytuacje bramkowe_home,Sytuacje bramkowe_away,Strzały na bramkę_home,Strzały na bramkę_away,Strzały niecelne_home,Strzały niecelne_away,Strzały zablokowane_home,Strzały zablokowane_away,Rzuty wolne_home,Rzuty wolne_away,Rzuty rożne_home,Rzuty rożne_away,Spalone_home,Spalone_away,Wrzuty z autu_home,Wrzuty z autu_away,Interwencje bramkarzy_home,Interwencje bramkarzy_away,Faule_home,Faule_away,Czerwone kartki_home,Czerwone kartki_away,Żółte kartki_home,Żółte kartki_away,Podania_home,Podania_away,Podania celne_home,Podania celne_away,Bloki_home,Bloki_away,Ataki_home,Ataki_away,Niebezpieczne ataki_home,Niebezpieczne ataki_away,goals_home,goals_away
0,2022-2023,28,17.04.2023 19:00,Stal Mielec,Miedź Legnica,61%,39%,19,9,6,3,8,5,5,1,13,12,5,6,3,4,31,16,2,5,9,11,1,0,4,4,577,372,468,273,6,16,96,65,84,41,1,1
1,2022-2023,28,16.04.2023 17:30,Legia Warszawa,Lech Poznań,54%,46%,8,7,4,4,3,3,1,0,17,15,5,1,1,2,20,14,2,2,14,18,,,2,3,440,382,375,309,6,14,108,87,63,33,2,2
2,2022-2023,28,16.04.2023 15:00,Raków Częstochowa,Widzew Łódź,47%,53%,12,10,2,2,6,7,4,1,18,19,4,1,2,2,16,13,2,0,17,18,,,1,4,412,450,320,357,12,16,101,68,85,53,2,0
3,2022-2023,28,16.04.2023 12:30,Piast Gliwice,Wisła Płock,37%,63%,16,3,3,1,11,1,2,1,18,19,6,2,2,1,11,25,1,2,18,19,,,5,1,334,580,250,475,11,11,92,121,68,63,1,0
4,2022-2023,28,15.04.2023 20:00,Lechia Gdańsk,Pogoń Szczecin,41%,59%,18,18,3,3,9,8,6,7,11,16,13,7,2,1,20,18,2,3,14,11,,,1,2,295,458,192,358,19,13,81,78,75,67,0,1
5,2022-2023,28,15.04.2023 17:30,Korona Kielce,Jagiellonia Białystok,48%,52%,24,15,8,5,10,4,6,6,10,13,9,9,1,3,19,26,4,6,13,7,,,0,2,382,429,289,326,18,18,73,74,71,58,2,1
6,2022-2023,28,15.04.2023 15:00,Cracovia,Radomiak Radom,44%,56%,16,9,7,1,4,5,5,3,14,15,7,4,0,1,15,16,1,4,15,13,,,1,1,301,375,217,287,7,9,78,77,74,63,3,0
7,2022-2023,28,14.04.2023 20:30,Zagłębie Lubin,Górnik Zabrze,52%,48%,12,15,5,6,4,4,3,5,12,10,3,4,1,2,32,16,4,5,9,12,,,0,4,471,445,381,362,14,19,130,86,103,63,0,2
8,2022-2023,28,14.04.2023 18:00,Warta Poznań,Śląsk Wrocław,41%,59%,9,17,4,1,3,10,2,6,15,14,3,7,4,1,13,24,1,1,10,14,,,1,4,306,433,237,335,15,13,72,114,54,74,3,1
9,2022-2023,27,10.04.2023 20:00,Miedź Legnica,Legia Warszawa,30%,70%,5,16,3,4,1,5,1,7,8,21,4,5,4,1,17,16,2,1,18,8,,,5,2,262,620,183,533,21,17,66,133,61,87,2,2
10,2022-2023,27,10.04.2023 17:30,Radomiak Radom,Raków Częstochowa,45%,55%,9,9,0,3,3,2,6,4,18,28,3,4,2,1,26,17,3,0,26,16,0,1,2,2,332,408,213,291,23,13,97,104,55,58,0,0
