,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result
0,2012-2013,17,2013-01-03 18:00:00,Lechia Gdańsk,Pogoń Szczecin,51,46,13,5,6,2,7,3,3,3,2,0,1,5,17,13,4,5,2,1,1,1,D
1,2012-2013,17,2013-01-03 20:45:00,Lech Poznań,Polonia Warszawa,56,43,22,12,7,6,15,6,6,2,0,1,5,7,15,15,0,2,0,0,0,1,L
2,2012-2013,17,2013-02-03 13:30:00,Ruch Chorzów,Widzew Łódź,53,44,12,10,6,6,6,4,5,6,4,3,6,3,15,9,3,1,0,1,3,0,W
3,2012-2013,17,2013-02-03 15:45:00,Piast Gliwice,Zagłębie Lubin,44,49,14,14,6,4,8,10,2,3,2,0,3,5,9,7,1,1,0,0,1,1,D
4,2012-2013,17,2013-02-03 18:30:00,Legia Warszawa,GKS Bełchatów,58,47,8,6,3,1,5,5,3,4,6,1,1,3,8,15,1,5,0,0,0,0,D
5,2012-2013,17,2013-03-03 14:30:00,Korona Kielce,Śląsk Wrocław,54,54,19,10,14,3,5,7,11,0,1,0,2,13,12,16,0,1,0,0,1,1,D
6,2012-2013,17,2013-03-03 17:00:00,Górnik Zabrze,Jagiellonia Białystok,54,50,13,11,8,6,5,5,3,3,3,2,4,7,12,10,3,2,0,0,1,2,L
7,2012-2013,17,2013-04-03 18:30:00,Wisła Kraków,Podbeskidzie B-B,53,42,15,6,5,2,10,4,7,5,3,3,2,5,17,12,5,3,0,0,0,0,D
8,2012-2013,18,2013-08-03 18:00:00,Zagłębie Lubin,Jagiellonia Białystok,54,50,20,10,9,7,11,3,8,1,7,1,6,7,9,6,1,2,0,0,2,1,W
9,2012-2013,18,2013-08-03 20:45:00,Podbeskidzie B-B,Legia Warszawa,46,56,14,22,7,10,7,12,3,10,0,4,8,6,18,15,5,2,0,0,1,2,L
10,2012-2013,18,2013-09-03 13:30:00,GKS Bełchatów,Widzew Łódź,59,41,8,8,3,5,5,3,12,5,2,0,5,3,16,13,3,3,0,0,0,0,D
11,2012-2013,18,2013-09-03 15:45:00,Ruch Chorzów,Śląsk Wrocław,55,45,12,7,1,6,11,1,8,3,4,2,5,0,9,12,1,0,0,0,1,1,D
12,2012-2013,18,2013-09-03 18:00:00,Polonia Warszawa,Wisła Kraków,54,46,11,14,3,4,8,10,6,5,1,3,2,2,16,12,4,2,0,0,1,2,L
13,2012-2013,18,2013-10-03 14:30:00,Pogoń Szczecin,Piast Gliwice,60,40,8,8,2,5,6,3,10,5,0,1,3,2,7,16,1,1,0,0,0,2,L
14,2012-2013,18,2013-10-03 17:00:00,Górnik Zabrze,Lech Poznań,57,43,5,11,0,6,5,5,6,4,0,3,5,0,16,9,2,1,0,0,0,1,L
15,2012-2013,18,2013-11-03 18:30:00,Lechia Gdańsk,Korona Kielce,57,43,10,7,7,4,3,3,3,3,2,4,2,4,13,12,1,2,0,1,3,2,W
16,2012-2013,19,2013-03-15 18:00:00,Jagiellonia Białystok,Polonia Warszawa,45,55,5,8,4,3,1,5,7,6,2,3,3,2,7,13,3,1,0,0,2,0,W
17,2012-2013,19,2013-03-15 20:45:00,Legia Warszawa,Górnik Zabrze,53,47,13,6,9,4,4,2,7,4,10,1,4,6,11,16,2,2,0,0,3,0,W
18,2012-2013,19,2013-03-16 13:30:00,Korona Kielce,Ruch Chorzów,50,50,9,11,4,1,5,10,6,2,2,1,0,2,17,13,1,3,0,0,2,1,W
19,2012-2013,19,2013-03-16 15:45:00,Widzew Łódź,Zagłębie Lubin,47,49,7,12,6,3,1,9,4,9,3,2,3,6,18,19,1,3,0,0,0,0,D
20,2012-2013,19,2013-03-16 18:00:00,Lech Poznań,GKS Bełchatów,58,42,26,9,15,6,11,3,15,9,1,0,6,15,8,11,2,3,0,0,0,0,D
21,2012-2013,19,2013-03-17 14:30:00,Śląsk Wrocław,Podbeskidzie B-B,60,40,12,9,9,7,3,2,4,4,3,3,6,8,14,9,3,2,0,0,1,1,D
22,2012-2013,19,2013-03-17 17:00:00,Wisła Kraków,Pogoń Szczecin,49,51,9,7,4,4,5,3,5,4,4,2,4,2,15,13,4,1,0,0,2,0,W
23,2012-2013,19,2013-03-18 18:30:00,Piast Gliwice,Lechia Gdańsk,47,53,11,10,5,4,6,6,4,6,3,1,4,3,11,12,1,2,0,0,2,0,W
24,2012-2013,20,2013-01-04 13:30:00,Zagłębie Lubin,Ruch Chorzów,57,43,11,14,5,8,6,6,4,4,1,2,5,3,11,9,3,4,1,0,2,3,L
25,2012-2013,20,2013-01-04 16:00:00,Lechia Gdańsk,Wisła Kraków,54,46,14,5,7,2,7,3,7,3,0,2,2,7,7,11,2,1,0,0,0,0,D
26,2012-2013,20,2013-01-04 18:30:00,Pogoń Szczecin,Lech Poznań,45,55,12,12,9,6,3,6,7,5,4,3,4,9,15,15,2,3,0,0,0,2,L
27,2012-2013,20,2013-03-28 18:00:00,Podbeskidzie B-B,Korona Kielce,53,47,11,5,5,5,6,0,7,4,2,3,4,4,17,17,2,3,0,0,1,1,D
28,2012-2013,20,2013-03-28 20:30:00,Górnik Zabrze,Widzew Łódź,56,44,17,10,10,5,7,5,9,3,1,2,4,7,12,12,1,1,0,0,3,1,W
29,2012-2013,20,2013-03-30 13:30:00,Piast Gliwice,Jagiellonia Białystok,50,50,8,10,3,1,5,9,4,8,1,1,0,2,6,5,0,3,1,1,1,1,D
30,2012-2013,20,2013-03-30 15:45:00,GKS Bełchatów,Śląsk Wrocław,44,56,6,6,3,4,3,2,2,1,2,3,4,2,14,9,3,4,0,1,1,0,W
31,2012-2013,20,2013-03-30 18:00:00,Polonia Warszawa,Legia Warszawa,42,58,7,9,5,6,2,3,4,6,2,4,4,4,11,5,5,1,0,0,1,2,L
32,2012-2013,21,2013-05-04 18:00:00,Ruch Chorzów,Podbeskidzie B-B,53,42,9,9,5,6,4,3,9,7,5,4,3,4,10,18,4,2,0,0,1,3,L
33,2012-2013,21,2013-05-04 20:45:00,Lech Poznań,Lechia Gdańsk,56,44,25,12,10,5,15,7,6,2,3,2,3,6,17,12,4,2,0,0,4,2,W
34,2012-2013,21,2013-06-04 13:30:00,Jagiellonia Białystok,Pogoń Szczecin,41,59,7,9,4,5,3,4,4,4,4,5,5,3,11,16,4,4,1,1,1,0,W
35,2012-2013,21,2013-06-04 15:45:00,Śląsk Wrocław,Górnik Zabrze,52,48,17,13,9,5,8,8,3,4,3,2,4,7,7,10,0,1,0,0,2,1,W
36,2012-2013,21,2013-06-04 18:00:00,Legia Warszawa,Zagłębie Lubin,59,41,16,6,9,3,7,3,7,6,4,2,3,7,11,10,4,4,0,0,2,0,W
37,2012-2013,21,2013-07-04 14:30:00,Korona Kielce,GKS Bełchatów,54,47,11,4,4,1,7,3,0,0,2,0,1,3,10,17,2,2,0,1,1,0,W
38,2012-2013,21,2013-07-04 17:15:00,Wisła Kraków,Piast Gliwice,49,51,11,8,6,5,5,3,11,3,3,2,3,5,10,10,3,1,0,0,1,2,L
39,2012-2013,21,2013-08-04 18:30:00,Widzew Łódź,Polonia Warszawa,53,47,10,9,4,5,6,4,3,11,4,3,3,1,8,15,0,4,0,0,3,2,W
