,Season,Round,Date,Team_Home,Team_Away,Ball_possession_home,Ball_possession_away,Goal_sit_home,Goal_sit_away,Shots_target_home,Shots_target_away,Shots_no_target_home,Shots_no_target_away,Corners_home,Corners_away,Offsides_home,Offsides_away,GK_inter_home,GK_inter_away,Fauls_home,Fauls_away,Yellow_home,Yellow_away,Red_home,Red_away,Goals_home,Goals_away,Result,r_Ball_possession_home,r_Goal_sit_home,r_Shots_target_home,r_Shots_no_target_home,r_Corners_home,r_Offsides_home,r_GK_inter_home,r_Fauls_home,r_Yellow_home,r_Red_home,r_Goals_home,r_Ball_possession_away,r_Goal_sit_away,r_Shots_target_away,r_Shots_no_target_away,r_Corners_away,r_Offsides_away,r_GK_inter_away,r_Fauls_away,r_Yellow_away,r_Red_away,r_Goals_away
1,2012-2013,20,2013-03-30 15:45:00,GKS Bełchatów,Śląsk Wrocław,44,56,6,6,3,4,3,2,2,1,2,3,4,2,14,9,3,4,0,1,1,0,W,58.333333333333336,14.0,7.0,7.0,10.0,3.0,4.0,10.666666666666666,2.0,0.0,0.0,46.333333333333336,8.666666666666666,5.333333333333333,3.3333333333333335,2.3333333333333335,1.6666666666666667,7.0,12.333333333333334,1.0,0.0,1.0
2,2012-2013,22,2013-04-13 13:30:00,GKS Bełchatów,Ruch Chorzów,59,41,11,11,7,8,4,3,8,4,3,0,5,7,6,7,0,1,0,0,0,3,L,52.0,14.333333333333334,7.333333333333333,7.0,5.666666666666667,1.6666666666666667,3.6666666666666665,10.666666666666666,2.3333333333333335,0.0,0.6666666666666666,45.0,11.333333333333334,5.0,6.333333333333333,4.333333333333333,2.3333333333333335,3.0,13.333333333333334,3.0,0.0,2.3333333333333335
3,2012-2013,25,2013-04-05 15:45:00,GKS Bełchatów,Górnik Zabrze,40,60,7,11,3,5,4,6,1,4,5,0,5,1,13,10,0,2,0,0,2,0,W,51.333333333333336,10.666666666666666,6.0,4.666666666666667,5.333333333333333,1.6666666666666667,4.666666666666667,11.333333333333334,2.0,0.3333333333333333,0.3333333333333333,48.666666666666664,6.333333333333333,2.6666666666666665,3.6666666666666665,5.0,4.0,2.3333333333333335,9.666666666666666,2.3333333333333335,0.3333333333333333,0.3333333333333333
4,2012-2013,27,2013-05-19 14:30:00,GKS Bełchatów,Zagłębie Lubin,51,49,8,10,7,6,1,4,4,5,0,0,4,4,6,3,1,2,0,0,3,2,W,47.333333333333336,9.0,3.6666666666666665,5.333333333333333,5.666666666666667,2.3333333333333335,5.0,11.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,56.333333333333336,12.666666666666666,4.333333333333333,8.333333333333334,6.0,2.3333333333333335,3.3333333333333335,11.333333333333334,3.0,0.0,1.0
5,2012-2013,29,2013-05-30 18:45:00,GKS Bełchatów,Jagiellonia Białystok,50,50,9,10,2,5,7,5,3,7,3,0,4,1,4,12,2,1,0,0,1,1,D,52.0,9.0,5.0,4.0,7.0,2.0,4.666666666666667,6.333333333333333,1.0,0.0,1.3333333333333333,54.0,9.0,4.666666666666667,4.333333333333333,4.666666666666667,2.0,2.0,7.0,0.6666666666666666,0.3333333333333333,2.0
8,2012-2013,20,2013-03-28 20:30:00,Górnik Zabrze,Widzew Łódź,56,44,17,10,10,5,7,5,9,3,1,2,4,7,12,12,1,1,0,0,3,1,W,54.666666666666664,10.333333333333334,5.666666666666667,4.666666666666667,5.333333333333333,4.333333333333333,4.333333333333333,13.0,2.3333333333333335,0.0,1.3333333333333333,44.666666666666664,10.0,4.666666666666667,5.333333333333333,6.666666666666667,1.6666666666666667,4.0,13.666666666666666,2.3333333333333335,0.3333333333333333,0.0
9,2012-2013,22,2013-04-14 14:30:00,Górnik Zabrze,Podbeskidzie B-B,54,42,10,5,2,2,8,3,6,6,1,4,1,2,3,8,1,3,0,0,0,1,L,53.666666666666664,15.666666666666666,9.333333333333334,6.333333333333333,6.333333333333333,4.666666666666667,4.0,10.0,1.0,0.0,2.6666666666666665,43.0,7.666666666666667,6.0,1.6666666666666667,5.0,3.3333333333333335,5.333333333333333,14.666666666666666,2.3333333333333335,0.0,1.6666666666666667
10,2012-2013,24,2013-04-28 17:00:00,Górnik Zabrze,Ruch Chorzów,49,51,14,9,5,4,9,5,12,4,2,6,4,3,8,13,0,2,0,0,2,0,W,51.0,12.333333333333334,4.666666666666667,7.666666666666667,5.0,2.6666666666666665,2.3333333333333335,5.666666666666667,1.0,0.0,1.0,42.0,9.333333333333334,6.333333333333333,3.0,5.0,1.6666666666666667,5.333333333333333,12.666666666666666,1.0,0.0,2.3333333333333335
11,2012-2013,27,2013-05-18 18:00:00,Górnik Zabrze,Polonia Warszawa,56,44,9,10,1,7,8,3,8,5,1,3,3,1,13,10,1,1,0,0,0,4,L,46.333333333333336,10.0,3.6666666666666665,6.333333333333333,6.666666666666667,3.3333333333333335,3.0,10.666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,43.0,8.0,5.0,3.0,2.3333333333333335,2.3333333333333335,4.666666666666667,8.666666666666666,2.6666666666666665,0.3333333333333333,1.0
12,2012-2013,29,2013-05-30 18:00:00,Górnik Zabrze,Wisła Kraków,54,46,12,7,4,1,8,6,13,6,1,2,2,5,3,5,0,0,0,0,0,1,L,49.333333333333336,10.0,3.0,7.0,8.333333333333334,2.0,3.0,10.0,2.3333333333333335,0.3333333333333333,0.6666666666666666,46.0,5.666666666666667,2.6666666666666665,3.0,5.333333333333333,1.3333333333333333,2.3333333333333335,10.666666666666666,2.3333333333333335,0.0,0.3333333333333333
